age,gender,department,jobrole,monthlyincome,yearsatcompany,experience_group,overtime,attrition,attrition_flag
26,Female,Human Resources,Human Resources,2942,8,6-10 years,No,No,0
36,Male,Research & Development,Manufacturing Director,4941,3,3-5 years,No,No,0
51,Male,Research & Development,Manufacturing Director,10650,4,3-5 years,No,Yes,1
39,Female,Sales,Sales Executive,5902,15,10+ years,No,No,0
25,Male,Sales,Sales Executive,8639,2,0-2 years,No,No,0
30,Male,Human Resources,Human Resources,6347,11,10+ years,Yes,No,0
32,Female,Research & Development,Laboratory Technician,4200,5,3-5 years,No,Yes,1
45,Male,Research & Development,Research Scientist,3452,6,6-10 years,No,No,0
38,Female,Research & Development,Research Scientist,4317,3,3-5 years,Yes,No,0
30,Female,Research & Development,Research Scientist,2632,5,3-5 years,No,No,0
32,Male,Sales,Sales Executive,4668,8,6-10 years,No,No,0
30,Female,Research & Development,Research Scientist,3204,3,3-5 years,No,No,0
30,Male,Research & Development,Laboratory Technician,2720,5,3-5 years,No,No,0
41,Male,Research & Development,Manager,17181,7,6-10 years,No,No,0
41,Male,Research & Development,Laboratory Technician,2238,5,3-5 years,No,No,0
19,Female,Research & Development,Laboratory Technician,1483,1,0-2 years,No,No,0
40,Female,Research & Development,Research Scientist,5605,20,10+ years,No,No,0
35,Male,Sales,Sales Executive,7295,10,6-10 years,No,No,0
53,Male,Sales,Sales Representative,2306,7,6-10 years,Yes,No,0
45,Male,Research & Development,Laboratory Technician,2348,17,10+ years,No,No,0
32,Female,Sales,Sales Executive,8998,9,6-10 years,No,No,0
29,Male,Research & Development,Manufacturing Director,4319,10,6-10 years,No,No,0
51,Male,Research & Development,Manufacturing Director,6132,1,0-2 years,No,No,0
58,Female,Research & Development,Research Scientist,3346,1,0-2 years,Yes,No,0
40,Male,Sales,Sales Executive,10855,12,10+ years,No,No,0
34,Female,Sales,Sales Representative,2231,4,3-5 years,No,No,0
22,Male,Research & Development,Research Scientist,2323,2,0-2 years,No,No,0
27,Male,Research & Development,Research Scientist,2024,2,0-2 years,No,No,0
28,Male,Research & Development,Research Scientist,2713,5,3-5 years,No,No,0
57,Male,Research & Development,Healthcare Representative,9439,5,3-5 years,Yes,No,0
27,Male,Research & Development,Research Scientist,2566,1,0-2 years,Yes,No,0
50,Female,Research & Development,Manager,19926,5,3-5 years,No,No,0
41,Male,Research & Development,Research Scientist,2451,9,6-10 years,No,No,0
30,Female,Sales,Sales Executive,9419,10,6-10 years,No,No,0
38,Female,Sales,Sales Executive,8686,8,6-10 years,No,No,0
32,Male,Research & Development,Research Scientist,3038,5,3-5 years,No,No,0
27,Male,Research & Development,Research Scientist,3058,5,3-5 years,Yes,No,0
19,Female,Sales,Sales Representative,2325,0,,No,Yes,1
36,Male,Research & Development,Laboratory Technician,2088,8,6-10 years,No,No,0
30,Male,Research & Development,Laboratory Technician,3072,12,10+ years,No,No,0
45,Female,Sales,Sales Executive,5006,5,3-5 years,Yes,No,0
56,Female,Research & Development,Research Scientist,4257,2,0-2 years,Yes,No,0
33,Male,Research & Development,Research Scientist,2500,3,3-5 years,No,No,0
19,Male,Research & Development,Laboratory Technician,1102,1,0-2 years,No,Yes,1
46,Female,Sales,Sales Executive,10453,24,10+ years,No,No,0
38,Female,Research & Development,Laboratory Technician,2288,2,0-2 years,No,No,0
31,Female,Research & Development,Research Scientist,3929,4,3-5 years,Yes,No,0
34,Female,Research & Development,Research Scientist,2311,3,3-5 years,No,No,0
41,Female,Sales,Sales Representative,3140,4,3-5 years,Yes,Yes,1
50,Male,Research & Development,Laboratory Technician,3690,3,3-5 years,No,No,0
53,Female,Research & Development,Manufacturing Director,4450,4,3-5 years,No,No,0
33,Female,Research & Development,Research Scientist,2756,8,6-10 years,No,No,0
40,Female,Research & Development,Manager,19033,20,10+ years,No,No,0
55,Male,Research & Development,Research Director,18722,24,10+ years,No,No,0
34,Male,Research & Development,Manufacturing Director,9547,10,6-10 years,No,No,0
51,Female,Research & Development,Healthcare Representative,13734,7,6-10 years,No,No,0
52,Male,Research & Development,Manager,19999,33,10+ years,No,No,0
27,Female,Research & Development,Research Scientist,2279,7,6-10 years,No,No,0
35,Male,Research & Development,Manufacturing Director,5916,1,0-2 years,Yes,Yes,1
43,Male,Research & Development,Research Scientist,2089,5,3-5 years,No,No,0
45,Male,Research & Development,Manager,16792,20,10+ years,No,No,0
37,Male,Research & Development,Research Scientist,3564,8,6-10 years,Yes,No,0
35,Female,Research & Development,Laboratory Technician,4425,6,6-10 years,No,No,0
42,Female,Research & Development,Manufacturing Director,5265,5,3-5 years,No,No,0
38,Male,Research & Development,Manufacturing Director,6553,1,0-2 years,No,No,0
38,Male,Research & Development,Manufacturing Director,6261,7,6-10 years,No,No,0
27,Male,Research & Development,Manufacturing Director,4298,2,0-2 years,No,No,0
49,Male,Research & Development,Manufacturing Director,6804,7,6-10 years,Yes,No,0
34,Male,Research & Development,Research Scientist,3815,5,3-5 years,Yes,No,0
40,Male,Research & Development,Laboratory Technician,2741,7,6-10 years,Yes,No,0
38,Male,Research & Development,Healthcare Representative,6673,1,0-2 years,Yes,Yes,1
29,Female,Sales,Sales Executive,7639,10,6-10 years,No,Yes,1
22,Male,Research & Development,Research Scientist,2328,4,3-5 years,Yes,No,0
36,Female,Research & Development,Laboratory Technician,2153,8,6-10 years,No,No,0
40,Male,Research & Development,Healthcare Representative,4876,3,3-5 years,No,No,0
46,Male,Research & Development,Healthcare Representative,9396,4,3-5 years,No,No,0
32,Male,Sales,Sales Executive,10400,14,10+ years,No,Yes,1
30,Male,Research & Development,Manufacturing Director,8474,11,10+ years,No,No,0
27,Female,Sales,Sales Executive,9981,7,6-10 years,No,No,0
51,Male,Research & Development,Research Director,12490,10,6-10 years,No,No,0
30,Female,Research & Development,Research Scientist,2657,5,3-5 years,Yes,Yes,1
41,Female,Sales,Manager,13591,1,0-2 years,Yes,No,0
30,Female,Sales,Sales Executive,6696,6,6-10 years,No,Yes,1
29,Male,Research & Development,Research Scientist,2058,6,6-10 years,No,Yes,1
45,Female,Sales,Sales Executive,8865,19,10+ years,No,No,0
54,Female,Sales,Sales Executive,5940,6,6-10 years,No,No,0
36,Male,Research & Development,Laboratory Technician,5914,13,10+ years,No,No,0
33,Female,Research & Development,Research Scientist,2622,3,3-5 years,No,No,0
37,Male,Research & Development,Research Director,12185,10,6-10 years,Yes,No,0
38,Male,Sales,Sales Executive,10609,16,10+ years,No,No,0
31,Male,Research & Development,Manufacturing Director,4345,5,3-5 years,No,No,0
59,Male,Research & Development,Research Scientist,2177,1,0-2 years,No,No,0
37,Male,Sales,Sales Representative,2793,9,6-10 years,No,No,0
29,Female,Sales,Sales Executive,7918,11,10+ years,No,No,0
35,Female,Sales,Sales Executive,8789,10,6-10 years,No,No,0
29,Male,Research & Development,Research Scientist,2389,4,3-5 years,Yes,Yes,1
52,Female,Research & Development,Laboratory Technician,3212,2,0-2 years,No,No,0
42,Male,Research & Development,Manager,19232,22,10+ years,No,No,0
59,Male,Human Resources,Human Resources,2267,2,0-2 years,No,No,0
50,Female,Sales,Manager,19517,7,6-10 years,No,No,0
33,Male,Research & Development,Laboratory Technician,2436,5,3-5 years,Yes,Yes,1
43,Female,Sales,Manager,16064,17,10+ years,Yes,No,0
33,Female,Research & Development,Laboratory Technician,2707,9,6-10 years,No,Yes,1
52,Male,Sales,Manager,19068,33,10+ years,Yes,No,0
32,Female,Sales,Sales Representative,3931,4,3-5 years,No,No,0
32,Male,Research & Development,Laboratory Technician,3730,3,3-5 years,Yes,Yes,1
39,Female,Research & Development,Laboratory Technician,2232,3,3-5 years,No,No,0
32,Male,Sales,Sales Executive,4465,3,3-5 years,No,No,0
41,Male,Research & Development,Research Scientist,3072,1,0-2 years,No,No,0
40,Male,Research & Development,Research Scientist,3319,9,6-10 years,No,No,0
45,Male,Research & Development,Manager,19202,24,10+ years,No,No,0
31,Male,Research & Development,Research Director,13675,2,0-2 years,No,No,0
33,Female,Research & Development,Research Scientist,2911,2,0-2 years,No,No,0
34,Male,Research & Development,Manufacturing Director,5957,11,10+ years,No,No,0
37,Female,Research & Development,Research Scientist,3920,3,3-5 years,No,No,0
45,Male,Research & Development,Manufacturing Director,6434,3,3-5 years,No,No,0
37,Male,Research & Development,Manufacturing Director,10048,1,0-2 years,No,Yes,1
39,Female,Research & Development,Healthcare Representative,10938,19,10+ years,No,No,0
29,Male,Research & Development,Research Scientist,2340,6,6-10 years,No,No,0
42,Female,Research & Development,Research Scientist,6545,3,3-5 years,Yes,No,0
29,Male,Sales,Sales Executive,6931,3,3-5 years,No,No,0
25,Female,Research & Development,Manufacturing Director,4898,4,3-5 years,No,No,0
42,Female,Research & Development,Laboratory Technician,2593,9,6-10 years,Yes,No,0
40,Male,Research & Development,Research Director,19436,21,10+ years,No,No,0
51,Male,Research & Development,Research Scientist,2723,1,0-2 years,No,No,0
31,Male,Research & Development,Laboratory Technician,3479,5,3-5 years,No,Yes,1
32,Male,Research & Development,Laboratory Technician,2794,5,3-5 years,No,No,0
38,Male,Sales,Sales Executive,5249,8,6-10 years,No,No,0
32,Male,Research & Development,Laboratory Technician,2176,6,6-10 years,No,No,0
46,Female,Sales,Manager,16872,7,6-10 years,Yes,No,0
28,Male,Research & Development,Laboratory Technician,3485,0,,No,Yes,1
29,Male,Sales,Sales Executive,6644,0,,No,No,0
31,Male,Research & Development,Healthcare Representative,5582,9,6-10 years,No,No,0
25,Male,Research & Development,Healthcare Representative,4000,6,6-10 years,No,No,0
45,Male,Research & Development,Healthcare Representative,13496,20,10+ years,Yes,No,0
36,Male,Research & Development,Laboratory Technician,3210,15,10+ years,No,No,0
55,Male,Research & Development,Manager,19045,36,10+ years,Yes,No,0
47,Male,Research & Development,Manager,11849,10,6-10 years,Yes,Yes,1
28,Male,Research & Development,Research Scientist,2070,5,3-5 years,No,No,0
37,Male,Sales,Sales Executive,6502,5,3-5 years,No,No,0
21,Male,Research & Development,Research Scientist,3230,3,3-5 years,No,No,0
37,Female,Research & Development,Research Director,13603,5,3-5 years,Yes,No,0
35,Female,Research & Development,Manager,11996,7,6-10 years,No,No,0
38,Female,Sales,Sales Executive,5605,8,6-10 years,Yes,No,0
26,Female,Research & Development,Manufacturing Director,6397,6,6-10 years,No,No,0
50,Male,Research & Development,Research Director,19144,10,6-10 years,No,No,0
53,Male,Research & Development,Research Director,17584,5,3-5 years,Yes,No,0
42,Male,Sales,Sales Executive,4907,20,10+ years,No,No,0
29,Male,Sales,Sales Executive,4554,10,6-10 years,No,No,0
55,Male,Research & Development,Laboratory Technician,5415,10,6-10 years,Yes,No,0
26,Male,Research & Development,Healthcare Representative,4741,5,3-5 years,Yes,No,0
37,Female,Research & Development,Research Scientist,2115,17,10+ years,No,No,0
44,Male,Research & Development,Laboratory Technician,3161,1,0-2 years,Yes,Yes,1
38,Male,Research & Development,Healthcare Representative,5745,2,0-2 years,No,No,0
26,Male,Research & Development,Laboratory Technician,2373,3,3-5 years,Yes,Yes,1
28,Female,Research & Development,Research Scientist,3310,5,3-5 years,No,No,0
49,Female,Research & Development,Research Director,18665,3,3-5 years,Yes,No,0
36,Male,Research & Development,Research Scientist,4485,8,6-10 years,No,No,0
31,Female,Sales,Sales Representative,2789,2,0-2 years,No,No,0
26,Male,Sales,Sales Executive,5828,8,6-10 years,Yes,Yes,1
37,Male,Research & Development,Research Scientist,2326,4,3-5 years,Yes,No,0
42,Female,Sales,Sales Executive,13525,20,10+ years,No,No,0
18,Male,Research & Development,Laboratory Technician,1420,0,,No,Yes,1
35,Male,Sales,Sales Executive,8020,11,10+ years,No,No,0
36,Male,Research & Development,Laboratory Technician,3688,1,0-2 years,No,No,0
51,Male,Research & Development,Manufacturing Director,5482,4,3-5 years,No,No,0
41,Male,Sales,Manager,16015,22,10+ years,No,No,0
18,Female,Sales,Sales Representative,1200,0,,No,No,0
28,Male,Research & Development,Healthcare Representative,5661,8,6-10 years,No,No,0
31,Male,Sales,Sales Executive,6929,8,6-10 years,No,No,0
39,Male,Research & Development,Healthcare Representative,9613,18,10+ years,No,No,0
36,Female,Research & Development,Laboratory Technician,5674,9,6-10 years,No,No,0
32,Male,Sales,Sales Executive,5484,13,10+ years,No,No,0
38,Female,Research & Development,Research Director,12061,10,6-10 years,No,No,0
58,Male,Research & Development,Healthcare Representative,5660,5,3-5 years,Yes,No,0
31,Male,Research & Development,Research Scientist,4821,5,3-5 years,Yes,No,0
31,Male,Human Resources,Human Resources,6410,2,0-2 years,No,No,0
45,Male,Research & Development,Laboratory Technician,5210,24,10+ years,No,No,0
31,Male,Research & Development,Research Scientist,2695,2,0-2 years,Yes,No,0
33,Female,Research & Development,Manager,11878,10,6-10 years,No,No,0
39,Male,Research & Development,Manager,17068,21,10+ years,Yes,No,0
43,Female,Research & Development,Laboratory Technician,2455,8,6-10 years,No,No,0
49,Female,Research & Development,Healthcare Representative,13964,7,6-10 years,Yes,No,0
52,Male,Research & Development,Research Scientist,4941,8,6-10 years,No,Yes,1
27,Female,Research & Development,Research Scientist,2478,4,3-5 years,Yes,No,0
32,Female,Sales,Sales Executive,5228,13,10+ years,Yes,No,0
27,Male,Sales,Sales Executive,4478,5,3-5 years,Yes,No,0
31,Male,Sales,Sales Executive,7547,7,6-10 years,No,No,0
32,Female,Research & Development,Research Scientist,5055,7,6-10 years,No,No,0
28,Male,Research & Development,Research Scientist,3464,3,3-5 years,Yes,Yes,1
30,Female,Research & Development,Research Scientist,5775,10,6-10 years,No,No,0
31,Female,Research & Development,Manufacturing Director,8943,10,6-10 years,No,No,0
39,Male,Research & Development,Manager,19272,21,10+ years,No,No,0
39,Female,Sales,Sales Executive,5238,1,0-2 years,Yes,Yes,1
33,Male,Sales,Sales Executive,4682,7,6-10 years,No,No,0
47,Male,Research & Development,Research Director,18300,3,3-5 years,No,No,0
43,Female,Research & Development,Laboratory Technician,5257,9,6-10 years,No,No,0
27,Male,Sales,Sales Executive,6349,5,3-5 years,Yes,No,0
54,Female,Research & Development,Research Scientist,4869,4,3-5 years,No,No,0
43,Female,Research & Development,Healthcare Representative,9985,1,0-2 years,No,No,0
45,Male,Research & Development,Research Scientist,3697,10,6-10 years,No,No,0
40,Male,Sales,Sales Executive,7457,4,3-5 years,Yes,No,0
29,Male,Research & Development,Laboratory Technician,2119,7,6-10 years,Yes,Yes,1
29,Male,Research & Development,Laboratory Technician,3983,3,3-5 years,No,No,0
30,Female,Sales,Sales Executive,6118,10,6-10 years,No,No,0
27,Female,Sales,Sales Executive,6214,8,6-10 years,No,No,0
37,Male,Research & Development,Manufacturing Director,6347,6,6-10 years,No,No,0
38,Male,Research & Development,Research Director,11510,11,10+ years,Yes,No,0
31,Female,Research & Development,Manufacturing Director,7143,11,10+ years,Yes,No,0
29,Female,Sales,Sales Executive,8268,7,6-10 years,Yes,No,0
35,Male,Research & Development,Manufacturing Director,8095,16,10+ years,No,No,0
23,Male,Research & Development,Research Scientist,2904,4,3-5 years,No,No,0
41,Male,Research & Development,Manufacturing Director,6032,5,3-5 years,Yes,No,0
47,Male,Sales,Sales Representative,2976,0,,No,No,0
42,Female,Research & Development,Research Director,15992,1,0-2 years,No,No,0
29,Male,Sales,Sales Executive,4649,4,3-5 years,No,No,0
42,Male,Human Resources,Human Resources,2696,3,3-5 years,Yes,No,0
32,Female,Research & Development,Laboratory Technician,2370,8,6-10 years,No,No,0
48,Female,Sales,Manager,12504,0,,No,No,0
37,Male,Research & Development,Research Scientist,5974,7,6-10 years,Yes,No,0
30,Female,Sales,Sales Executive,4736,2,0-2 years,Yes,No,0
26,Male,Sales,Sales Executive,5296,8,6-10 years,No,No,0
42,Male,Research & Development,Healthcare Representative,6781,1,0-2 years,No,No,0
21,Female,Sales,Sales Representative,2174,3,3-5 years,Yes,Yes,1
36,Female,Sales,Sales Executive,6653,1,0-2 years,No,No,0
36,Male,Sales,Sales Executive,9699,13,10+ years,No,No,0
57,Male,Research & Development,Healthcare Representative,6755,3,3-5 years,No,No,0
40,Female,Research & Development,Laboratory Technician,2213,7,6-10 years,Yes,No,0
21,Male,Sales,Sales Representative,2610,3,3-5 years,No,No,0
33,Female,Sales,Sales Representative,2851,1,0-2 years,Yes,Yes,1
37,Female,Research & Development,Laboratory Technician,3452,5,3-5 years,No,No,0
46,Female,Research & Development,Manufacturing Director,5258,1,0-2 years,No,No,0
41,Male,Sales,Sales Executive,9355,8,6-10 years,No,Yes,1
50,Male,Research & Development,Healthcare Representative,10496,4,3-5 years,No,No,0
40,Male,Sales,Sales Executive,6380,6,6-10 years,Yes,Yes,1
31,Male,Research & Development,Research Scientist,2657,2,0-2 years,Yes,No,0
21,Female,Sales,Sales Representative,2716,1,0-2 years,No,Yes,1
29,Male,Research & Development,Research Scientist,2201,3,3-5 years,No,No,0
35,Male,Research & Development,Healthcare Representative,6540,1,0-2 years,No,No,0
27,Male,Research & Development,Laboratory Technician,3816,5,3-5 years,No,No,0
28,Male,Sales,Sales Executive,5253,7,6-10 years,No,No,0
49,Male,Research & Development,Healthcare Representative,10965,5,3-5 years,No,No,0
51,Female,Sales,Sales Executive,4936,7,6-10 years,No,No,0
36,Female,Research & Development,Research Scientist,2543,2,0-2 years,No,No,0
34,Male,Sales,Sales Executive,5304,5,3-5 years,Yes,Yes,1
55,Female,Research & Development,Manager,16659,5,3-5 years,Yes,No,0
24,Female,Sales,Sales Executive,4260,5,3-5 years,Yes,No,0
30,Male,Sales,Sales Representative,2476,1,0-2 years,No,No,0
26,Male,Research & Development,Research Scientist,3102,6,6-10 years,No,Yes,1
22,Female,Research & Development,Research Scientist,2244,2,0-2 years,No,No,0
36,Male,Sales,Sales Executive,7596,10,6-10 years,No,No,0
30,Male,Research & Development,Research Scientist,2285,1,0-2 years,Yes,Yes,1
37,Female,Research & Development,Laboratory Technician,3034,18,10+ years,No,No,0
40,Female,Sales,Sales Executive,5715,5,3-5 years,No,No,0
42,Female,Research & Development,Laboratory Technician,2576,5,3-5 years,No,No,0
37,Male,Research & Development,Manufacturing Director,4197,1,0-2 years,Yes,No,0
43,Male,Research & Development,Research Director,14336,25,10+ years,No,No,0
40,Female,Research & Development,Laboratory Technician,3448,1,0-2 years,No,No,0
54,Male,Research & Development,Research Director,19406,4,3-5 years,No,No,0
